Pathway name	P-value	FDR q-value	N	M	n	m
NOD-like receptor signaling pathway	1.0	1.0	12780.0	2.0	323.0	0
RIG-I-like receptor signaling pathway	1.0	1.0	12780.0	3.0	323.0	0
Cytosolic DNA-sensing pathway	1.0	1.0	12780.0	0	323.0	0
C-type lectin receptor signaling pathway	1.0	1.0	12780.0	0	323.0	0
JAK-STAT signaling pathway	1.0	1.0	12780.0	1.0	323.0	0
Hematopoietic cell lineage	1.0	1.0	12780.0	4.0	323.0	0
Natural killer cell mediated cytotoxicity	1.0	1.0	12780.0	0	323.0	0
IL-17 signaling pathway	1.0	1.0	12780.0	1.0	323.0	0
Th1 and Th2 cell differentiation	1.0	1.0	12780.0	3.0	323.0	0
Th17 cell differentiation	1.0	1.0	12780.0	5.0	323.0	0
T cell receptor signaling pathway	1.0	1.0	12780.0	0	323.0	0
B cell receptor signaling pathway	1.0	1.0	12780.0	0	323.0	0
Fc epsilon RI signaling pathway	1.0	1.0	12780.0	0	323.0	0
Fc gamma R-mediated phagocytosis	1.0	1.0	12780.0	0	323.0	0
TNF signaling pathway	1.0	1.0	12780.0	0	323.0	0
Leukocyte transendothelial migration	1.0	1.0	12780.0	1.0	323.0	0
Intestinal immune network for IgA production	1.0	1.0	12780.0	2.0	323.0	0
Circadian rhythm	1.0	1.0	12780.0	0	323.0	0
Circadian entrainment	1.0	1.0	12780.0	0	323.0	0
Thermogenesis	1.0	1.0	12780.0	1.0	323.0	0
Long-term potentiation	1.0	1.0	12780.0	0	323.0	0
Synaptic vesicle cycle	1.0	1.0	12780.0	0	323.0	0
Neurotrophin signaling pathway	1.0	1.0	12780.0	2.0	323.0	0
Retrograde endocannabinoid signaling	1.0	1.0	12780.0	0	323.0	0
Glutamatergic synapse	1.0	1.0	12780.0	0	323.0	0
Cholinergic synapse	1.0	1.0	12780.0	1.0	323.0	0
Serotonergic synapse	1.0	1.0	12780.0	0	323.0	0
GABAergic synapse	1.0	1.0	12780.0	0	323.0	0
Dopaminergic synapse	1.0	1.0	12780.0	1.0	323.0	0
Long-term depression	1.0	1.0	12780.0	0	323.0	0
Olfactory transduction	1.0	1.0	12780.0	0	323.0	0
Taste transduction	1.0	1.0	12780.0	0	323.0	0
Phototransduction	1.0	1.0	12780.0	0	323.0	0
Inflammatory mediator regulation of TRP channels	1.0	1.0	12780.0	1.0	323.0	0
Regulation of actin cytoskeleton	1.0	1.0	12780.0	3.0	323.0	0
Insulin signaling pathway	1.0	1.0	12780.0	1.0	323.0	0
Insulin secretion	1.0	1.0	12780.0	0	323.0	0
GnRH signaling pathway	1.0	1.0	12780.0	0	323.0	0
Ovarian steroidogenesis	1.0	1.0	12780.0	0	323.0	0
Progesterone-mediated oocyte maturation	1.0	1.0	12780.0	1.0	323.0	0
Estrogen signaling pathway	1.0	1.0	12780.0	2.0	323.0	0
Melanogenesis	1.0	1.0	12780.0	0	323.0	0
Prolactin signaling pathway	1.0	1.0	12780.0	0	323.0	0
Thyroid hormone synthesis	1.0	1.0	12780.0	0	323.0	0
Thyroid hormone signaling pathway	1.0	1.0	12780.0	0	323.0	0
Adipocytokine signaling pathway	1.0	1.0	12780.0	0	323.0	0
Oxytocin signaling pathway	1.0	1.0	12780.0	0	323.0	0
Glucagon signaling pathway	1.0	1.0	12780.0	1.0	323.0	0
Regulation of lipolysis in adipocytes	1.0	1.0	12780.0	1.0	323.0	0
Renin secretion	1.0	1.0	12780.0	0	323.0	0
Aldosterone synthesis and secretion	1.0	1.0	12780.0	0	323.0	0
Relaxin signaling pathway	1.0	1.0	12780.0	2.0	323.0	0
Cortisol synthesis and secretion	1.0	1.0	12780.0	0	323.0	0
Parathyroid hormone synthesis, secretion and action	1.0	1.0	12780.0	0	323.0	0
GnRH secretion	1.0	1.0	12780.0	0	323.0	0
Type II diabetes mellitus	1.0	1.0	12780.0	0	323.0	0
Insulin resistance	1.0	1.0	12780.0	0	323.0	0
Non-alcoholic fatty liver disease	1.0	1.0	12780.0	0	323.0	0
AGE-RAGE signaling pathway in diabetic complications	1.0	1.0	12780.0	4.0	323.0	0
Cushing syndrome	1.0	1.0	12780.0	0	323.0	0
Growth hormone synthesis, secretion and action	1.0	1.0	12780.0	1.0	323.0	0
Alcoholic liver disease	1.0	1.0	12780.0	1.0	323.0	0
Type I diabetes mellitus	1.0	1.0	12780.0	3.0	323.0	0
Maturity onset diabetes of the young	1.0	1.0	12780.0	0	323.0	0
Aldosterone-regulated sodium reabsorption	1.0	1.0	12780.0	0	323.0	0
Endocrine and other factor-regulated calcium reabsorption	1.0	1.0	12780.0	0	323.0	0
Vasopressin-regulated water reabsorption	1.0	1.0	12780.0	0	323.0	0
Proximal tubule bicarbonate reclamation	1.0	1.0	12780.0	0	323.0	0
Collecting duct acid secretion	1.0	1.0	12780.0	0	323.0	0
Salivary secretion	1.0	1.0	12780.0	0	323.0	0
Gastric acid secretion	1.0	1.0	12780.0	0	323.0	0
Pancreatic secretion	1.0	1.0	12780.0	2.0	323.0	0
Carbohydrate digestion and absorption	1.0	1.0	12780.0	0	323.0	0
Protein digestion and absorption	1.0	1.0	12780.0	0	323.0	0
Fat digestion and absorption	1.0	1.0	12780.0	0	323.0	0
Bile secretion	1.0	1.0	12780.0	0	323.0	0
Vitamin digestion and absorption	1.0	1.0	12780.0	0	323.0	0
Mineral absorption	1.0	1.0	12780.0	0	323.0	0
Cholesterol metabolism	1.0	1.0	12780.0	0	323.0	0
Alzheimer disease	1.0	1.0	12780.0	15.0	323.0	0
Parkinson disease	1.0	1.0	12780.0	6.0	323.0	0
Amyotrophic lateral sclerosis	1.0	1.0	12780.0	11.0	323.0	0
Huntington disease	1.0	1.0	12780.0	10.0	323.0	0
Spinocerebellar ataxia	1.0	1.0	12780.0	1.0	323.0	0
Prion disease	1.0	1.0	12780.0	6.0	323.0	0
Pathways of neurodegeneration - multiple diseases	1.0	1.0	12780.0	17.0	323.0	0
Cocaine addiction	1.0	1.0	12780.0	0	323.0	0
Amphetamine addiction	1.0	1.0	12780.0	0	323.0	0
Morphine addiction	1.0	1.0	12780.0	0	323.0	0
Nicotine addiction	1.0	1.0	12780.0	0	323.0	0
Alcoholism	1.0	1.0	12780.0	0	323.0	0
Bacterial invasion of epithelial cells	1.0	1.0	12780.0	0	323.0	0
Vibrio cholerae infection	1.0	1.0	12780.0	0	323.0	0
Epithelial cell signaling in Helicobacter pylori infection	1.0	1.0	12780.0	0	323.0	0
Pathogenic Escherichia coli infection	1.0	1.0	12780.0	2.0	323.0	0
Shigellosis	1.0	1.0	12780.0	7.0	323.0	0
Salmonella infection	1.0	1.0	12780.0	7.0	323.0	0
Pertussis	1.0	1.0	12780.0	1.0	323.0	0
Legionellosis	1.0	1.0	12780.0	0	323.0	0
Yersinia infection	1.0	1.0	12780.0	0	323.0	0
Leishmaniasis	1.0	1.0	12780.0	3.0	323.0	0
Chagas disease	1.0	1.0	12780.0	3.0	323.0	0
African trypanosomiasis	1.0	1.0	12780.0	1.0	323.0	0
Malaria	1.0	1.0	12780.0	0	323.0	0
Toxoplasmosis	1.0	1.0	12780.0	4.0	323.0	0
Amoebiasis	1.0	1.0	12780.0	1.0	323.0	0
Staphylococcus aureus infection	1.0	1.0	12780.0	8.0	323.0	0
Tuberculosis	1.0	1.0	12780.0	6.0	323.0	0
Hepatitis C	1.0	1.0	12780.0	0	323.0	0
Hepatitis B	1.0	1.0	12780.0	0	323.0	0
Measles	1.0	1.0	12780.0	1.0	323.0	0
Human cytomegalovirus infection	1.0	1.0	12780.0	5.0	323.0	0
Influenza A	1.0	1.0	12780.0	3.0	323.0	0
Human papillomavirus infection	1.0	1.0	12780.0	6.0	323.0	0
Human T-cell leukemia virus 1 infection	1.0	1.0	12780.0	4.0	323.0	0
Kaposi sarcoma-associated herpesvirus infection	1.0	1.0	12780.0	1.0	323.0	0
Herpes simplex virus 1 infection	1.0	1.0	12780.0	17.0	323.0	0
Epstein-Barr virus infection	1.0	1.0	12780.0	7.0	323.0	0
Human immunodeficiency virus 1 infection	1.0	1.0	12780.0	1.0	323.0	0
Coronavirus disease - COVID-19	1.0	1.0	12780.0	6.0	323.0	0
Pathways in cancer	1.0	1.0	12780.0	22.0	323.0	0
Transcriptional misregulation in cancer	1.0	1.0	12780.0	0	323.0	0
Viral carcinogenesis	1.0	1.0	12780.0	2.0	323.0	0
Chemical carcinogenesis - DNA adducts	1.0	1.0	12780.0	0	323.0	0
Proteoglycans in cancer	1.0	1.0	12780.0	0	323.0	0
MicroRNAs in cancer	1.0	1.0	12780.0	1.0	323.0	0
Chemical carcinogenesis - receptor activation	1.0	1.0	12780.0	3.0	323.0	0
Chemical carcinogenesis - reactive oxygen species	1.0	1.0	12780.0	1.0	323.0	0
Colorectal cancer	1.0	1.0	12780.0	0	323.0	0
Renal cell carcinoma	1.0	1.0	12780.0	1.0	323.0	0
Pancreatic cancer	1.0	1.0	12780.0	0	323.0	0
Endometrial cancer	1.0	1.0	12780.0	0	323.0	0
Glioma	1.0	1.0	12780.0	0	323.0	0
Prostate cancer	1.0	1.0	12780.0	0	323.0	0
Thyroid cancer	1.0	1.0	12780.0	0	323.0	0
Basal cell carcinoma	1.0	1.0	12780.0	0	323.0	0
Melanoma	1.0	1.0	12780.0	1.0	323.0	0
Bladder cancer	1.0	1.0	12780.0	0	323.0	0
Chronic myeloid leukemia	1.0	1.0	12780.0	0	323.0	0
Acute myeloid leukemia	1.0	1.0	12780.0	0	323.0	0
Small cell lung cancer	1.0	1.0	12780.0	1.0	323.0	0
Non-small cell lung cancer	1.0	1.0	12780.0	0	323.0	0
Breast cancer	1.0	1.0	12780.0	1.0	323.0	0
Hepatocellular carcinoma	1.0	1.0	12780.0	2.0	323.0	0
Gastric cancer	1.0	1.0	12780.0	0	323.0	0
Central carbon metabolism in cancer	1.0	1.0	12780.0	0	323.0	0
Choline metabolism in cancer	1.0	1.0	12780.0	0	323.0	0
PD-L1 expression and PD-1 checkpoint pathway in cancer	1.0	1.0	12780.0	0	323.0	0
Asthma	1.0	1.0	12780.0	2.0	323.0	0
Autoimmune thyroid disease	1.0	1.0	12780.0	3.0	323.0	0
Inflammatory bowel disease	1.0	1.0	12780.0	4.0	323.0	0
Systemic lupus erythematosus	1.0	1.0	12780.0	5.0	323.0	0
Rheumatoid arthritis	0.16408953140825516	1.0	12780.0	7.0	323.0	1.0
Allograft rejection	1.0	1.0	12780.0	3.0	323.0	0
Graft-versus-host disease	1.0	1.0	12780.0	3.0	323.0	0
Primary immunodeficiency	1.0	1.0	12780.0	1.0	323.0	0
Hypertrophic cardiomyopathy	1.0	1.0	12780.0	0	323.0	0
Arrhythmogenic right ventricular cardiomyopathy	1.0	1.0	12780.0	0	323.0	0
Dilated cardiomyopathy	1.0	1.0	12780.0	0	323.0	0
Diabetic cardiomyopathy	1.0	1.0	12780.0	2.0	323.0	0
Viral myocarditis	1.0	1.0	12780.0	3.0	323.0	0
Lipid and atherosclerosis	0.05383643098428164	1.0	12780.0	15.0	323.0	2.0
Fluid shear stress and atherosclerosis	1.0	1.0	12780.0	2.0	323.0	0
